,title,date,url,data_page_datail,cidade,local,tipo_evento
140,24ª Bienal Internacional de São Paulo,03/10/1998,https://enciclopedia.itaucultural.org.br/evento80235/24-bienal-internacional-de-sao-paulo,03.10.1998 - 13.12.1998,Brasil / São Paulo / São Paulo , Fundação Bienal de São Paulo,Exposição
141,O Moderno e o Contemporâneo na Arte Brasileira: Coleção Gilberto Chateaubriand - MAM/RJ,06/10/1998,https://enciclopedia.itaucultural.org.br/evento235012/o-moderno-e-o-contemporaneo-na-arte-brasileira-colecao-gilberto-chateaubriand-mam-rj,06.10.1998 - 13.12.1998,Brasil / São Paulo / São Paulo , Museu de Arte de São Paulo Assis Chateaubriand (Masp),Coletiva
142,Espelho da Bienal ,14/10/1998,https://enciclopedia.itaucultural.org.br/evento221198/espelho-da-bienal,14.10.1998 - 14.03.1999,Brasil / Rio de Janeiro / Niterói , Museu de Arte Contemporânea de Niterói,Coletiva
143,Múltiplos,03/12/1998,https://enciclopedia.itaucultural.org.br/evento262951/multiplos,03.12.1998 - 09.01.1999,Brasil / São Paulo / São Paulo , Valu Oria Galeria de Arte,Coletiva
144,Medidas de Si,1998,https://enciclopedia.itaucultural.org.br/evento613352/medidas-de-si,1998,França / Ile de France / Paris,,Coletiva
145,Cotidiano/Arte. O Consumo,19/11/1999,https://enciclopedia.itaucultural.org.br/evento80115/cotidiano-arte-o-consumo,19.11.1999 - 06.02.2000,Brasil / São Paulo / São Paulo , Itaú Cultural,Coletiva
146,Cotidiano/Arte. O Consumo. Beba Mona Lisa,24/02/2000,https://enciclopedia.itaucultural.org.br/evento454511/cotidiano-arte-o-consumo-beba-mona-lisa,24.02.2000 - 14.04.2000,Brasil / Distrito Federal / Brasília , Itaugaleria,Coletiva
147,Coletiva na Galeria de Arte São Paulo,09/03/2000,https://enciclopedia.itaucultural.org.br/evento558702/coletiva-na-galeria-de-arte-sao-paulo,09.03.2000 - 31.03.2000,Brasil / São Paulo / São Paulo , Galeria de Arte São Paulo,Coletiva
148,Brasil + 500 Mostra do Redescobrimento ,24/04/2000,https://enciclopedia.itaucultural.org.br/evento217210/brasil-500-mostra-do-redescobrimento,24.04.2000 - 07.09.2000,Brasil / São Paulo / São Paulo , Fundação Bienal de São Paulo,Mostra do Redescobrimento 
149,"12ª Mostra da Gravura de Curitiba. Marcas do Corpo, Dobras da Alma ",13/06/2000,https://enciclopedia.itaucultural.org.br/evento85139/12-mostra-da-gravura-de-curitiba-marcas-do-corpo-dobras-da-alma,13.06.2000 - 06.08.2000,Brasil / Paraná / Curitiba , Fundação Cultural de Curitiba,12ª Mostra de Gravura Cidade de Curitiba
150,O Papel da Arte,25/09/2000,https://enciclopedia.itaucultural.org.br/evento226029/o-papel-da-arte,25.09.2000 - 28.01.2001,Brasil / São Paulo / São Paulo , Galeria de Arte do Sesi,Coletiva
151,Brasil: Psicanálise e Modernismo,10/10/2000,https://enciclopedia.itaucultural.org.br/evento526666/brasil-psicanalise-e-modernismo,10.10.2000 - 17.12.2000,Brasil / São Paulo / São Paulo , Museu de Arte de São Paulo Assis Chateaubriand (Masp),Coletiva
152,A Figura Humana na Coleção Itaú,20/10/2000,https://enciclopedia.itaucultural.org.br/evento235022/a-figura-humana-na-colecao-itau,20.10.2000 - 19.11.2000,Brasil / São Paulo / São Paulo , Itaú Cultural,Coletiva
153,Século 20: arte do Brasil,10/2000,https://enciclopedia.itaucultural.org.br/evento237653/seculo-20-arte-do-brasil,10.2000 - 01.2001,Portugal / Distrito de Lisboa / Lisboa , Centro de Arte Moderna José de Azeredo Perdigão ,Exposição
